timestep,policy,agent_id,food,coin,productivity,wealth,price,scarcity_ratio,alive_count,action,alive
10,random,5,11.4,12.712,0.98,38.36,2.2499,1.1031,10,gather,True
10,random,6,6.243,20.623,1.061,34.669,2.2499,1.1031,10,work,True
10,random,7,4.598,25.359,1.115,35.705,2.2499,1.1031,10,work,True
10,random,8,5.43,15.853,0.838,28.07,2.2499,1.1031,10,work,True
10,random,9,1.338,20.866,0.811,23.877,2.2499,1.1031,10,work,True
11,random,0,7.227,15.818,0.854,30.869,2.0827,1.0343,10,work,True
11,random,1,7.151,21.056,1.139,35.949,2.0827,1.0343,10,gather,True
11,random,2,5.756,23.22,1.106,35.206,2.0827,1.0343,10,work,True
11,random,3,9.121,16.505,0.902,35.5,2.0827,1.0343,10,gather,True
11,random,4,11.514,15.409,0.998,39.389,2.0827,1.0343,10,gather,True
11,random,5,10.4,14.846,0.98,36.505,2.0827,1.0343,10,work,True
11,random,6,7.946,20.623,1.061,37.171,2.0827,1.0343,10,gather,True
11,random,7,3.598,27.155,1.115,34.649,2.0827,1.0343,10,work,True
11,random,8,6.273,15.853,0.838,28.918,2.0827,1.0343,10,gather,True
11,random,9,2.618,20.866,0.811,26.319,2.0827,1.0343,10,gather,True
12,random,0,8.128,15.818,0.854,31.568,1.9377,0.974,10,gather,True
12,random,1,8.809,21.056,1.139,38.125,1.9377,0.974,10,gather,True
12,random,2,4.756,25.127,1.106,34.342,1.9377,0.974,10,work,True
12,random,3,10.088,16.505,0.902,36.051,1.9377,0.974,10,gather,True
12,random,4,12.227,15.409,0.998,39.101,1.9377,0.974,10,gather,True
12,random,5,11.408,14.846,0.98,36.951,1.9377,0.974,10,gather,True
12,random,6,9.376,20.623,1.061,38.792,1.9377,0.974,10,gather,True
12,random,7,2.598,29.001,1.115,34.036,1.9377,0.974,10,work,True
12,random,8,7.407,15.853,0.838,30.204,1.9377,0.974,10,gather,True
12,random,9,3.923,20.866,0.811,28.468,1.9377,0.974,10,gather,True
13,random,0,7.128,17.682,0.854,29.796,1.6995,0.8731,10,work,True
13,random,1,7.809,23.201,1.139,36.472,1.6995,0.8731,10,work,True
13,random,2,6.351,25.127,1.106,35.921,1.6995,0.8731,10,gather,True
13,random,3,10.968,16.505,0.902,35.144,1.6995,0.8731,10,gather,True
13,random,4,11.227,17.844,0.998,36.924,1.6995,0.8731,10,work,True
13,random,5,12.288,14.846,0.98,35.73,1.6995,0.8731,10,gather,True
13,random,6,10.337,20.623,1.061,38.191,1.6995,0.8731,10,gather,True
13,random,7,4.571,29.001,1.115,36.769,1.6995,0.8731,10,gather,True
13,random,8,6.407,17.753,0.838,28.641,1.6995,0.8731,10,work,True
13,random,9,2.923,22.641,0.811,27.609,1.6995,0.8731,10,work,True
14,random,0,6.128,19.624,0.854,29.809,1.662,0.857,10,work,True
14,random,1,6.809,25.145,1.139,36.462,1.662,0.857,10,work,True
14,random,2,5.351,27.143,1.106,36.037,1.662,0.857,10,work,True
14,random,3,11.447,16.505,0.902,35.53,1.662,0.857,10,gather,True
14,random,4,12.023,17.844,0.998,37.826,1.662,0.857,10,gather,True
14,random,5,11.288,16.986,0.98,35.746,1.662,0.857,10,work,True
14,random,6,11.228,20.623,1.061,39.284,1.662,0.857,10,gather,True
14,random,7,6.679,29.001,1.115,40.102,1.662,0.857,10,gather,True
14,random,8,5.407,19.329,0.838,28.314,1.662,0.857,10,work,True
14,random,9,3.996,22.641,0.811,29.283,1.662,0.857,10,gather,True
15,random,0,5.128,21.175,0.854,29.647,1.6521,0.8528,10,work,True
15,random,1,8.456,25.145,1.139,39.115,1.6521,0.8528,10,gather,True
15,random,2,4.351,28.818,1.106,36.007,1.6521,0.8528,10,work,True
15,random,3,11.874,16.505,0.902,36.122,1.6521,0.8528,10,gather,True
15,random,4,12.742,17.844,0.998,38.896,1.6521,0.8528,10,gather,True
15,random,5,11.944,16.986,0.98,36.719,1.6521,0.8528,10,gather,True
15,random,6,12.212,20.623,1.061,40.799,1.6521,0.8528,10,gather,True
15,random,7,8.262,29.001,1.115,42.652,1.6521,0.8528,10,gather,True
15,random,8,6.656,19.329,0.838,30.325,1.6521,0.8528,10,gather,True
15,random,9,2.996,24.028,0.811,28.978,1.6521,0.8528,10,work,True
16,random,0,4.128,22.687,0.854,29.042,1.5395,0.8041,10,work,True
16,random,1,9.73,25.145,1.139,40.125,1.5395,0.8041,10,gather,True
16,random,2,6.247,28.818,1.106,38.435,1.5395,0.8041,10,gather,True
16,random,3,12.479,16.505,0.902,35.715,1.5395,0.8041,10,gather,True
16,random,4,13.419,17.844,0.998,38.503,1.5395,0.8041,10,gather,True
16,random,5,12.705,16.986,0.98,36.545,1.5395,0.8041,10,gather,True
16,random,6,11.212,22.76,1.061,40.021,1.5395,0.8041,10,work,True
16,random,7,7.262,30.784,1.115,41.964,1.5395,0.8041,10,work,True
16,random,8,7.624,19.329,0.838,31.066,1.5395,0.8041,10,gather,True
16,random,9,1.996,25.647,0.811,28.72,1.5395,0.8041,10,work,True
17,random,0,5.531,22.687,0.854,30.912,1.4872,0.7812,10,gather,True
17,random,1,10.973,25.145,1.139,41.464,1.4872,0.7812,10,gather,True
17,random,2,5.247,30.555,1.106,38.358,1.4872,0.7812,10,work,True
17,random,3,11.479,18.619,0.902,35.69,1.4872,0.7812,10,work,True
17,random,4,13.912,17.844,0.998,38.534,1.4872,0.7812,10,gather,True
17,random,5,13.235,16.986,0.98,36.668,1.4872,0.7812,10,gather,True
17,random,6,11.037,24.247,1.061,40.661,1.4872,0.7812,10,gather,True
17,random,7,6.262,32.342,1.115,41.656,1.4872,0.7812,10,work,True
17,random,8,8.261,19.329,0.838,31.615,1.4872,0.7812,10,gather,True
17,random,9,1.996,25.603,0.811,28.572,1.4872,0.7812,10,work,True
18,random,0,6.467,22.687,0.854,32.137,1.4613,0.7699,10,gather,True
18,random,1,11.879,25.145,1.139,42.504,1.4613,0.7699,10,gather,True
18,random,2,4.247,32.178,1.106,38.384,1.4613,0.7699,10,work,True
18,random,3,11.938,18.619,0.902,36.065,1.4613,0.7699,10,gather,True
18,random,4,14.307,17.844,0.998,38.751,1.4613,0.7699,10,gather,True
18,random,5,12.856,18.447,0.98,37.234,1.4613,0.7699,10,gather,True
18,random,6,10.037,26.294,1.061,40.961,1.4613,0.7699,10,work,True
18,random,7,5.262,34.004,1.115,41.694,1.4613,0.7699,10,work,True
18,random,8,7.261,21.088,0.838,31.7,1.4613,0.7699,10,work,True
18,random,9,1.996,25.443,0.811,28.36,1.4613,0.7699,10,work,True
19,random,0,5.467,24.153,0.854,32.353,1.5001,0.7869,10,work,True
19,random,1,9.879,28.723,1.139,43.542,1.5001,0.7869,10,work,True
19,random,2,6.332,32.178,1.106,41.678,1.5001,0.7869,10,gather,True
19,random,3,10.938,20.408,0.902,36.816,1.5001,0.7869,10,work,True
19,random,4,13.307,20.029,0.998,39.991,1.5001,0.7869,10,work,True
19,random,5,11.856,20.628,0.98,38.413,1.5001,0.7869,10,work,True
19,random,6,11.019,26.294,1.061,42.824,1.5001,0.7869,10,gather,True
19,random,7,7.139,34.004,1.115,44.713,1.5001,0.7869,10,gather,True
19,random,8,8.251,21.088,0.838,33.466,1.5001,0.7869,10,gather,True
19,random,9,1.996,25.378,0.811,28.372,1.5001,0.7869,10,work,True
20,random,0,4.467,25.642,0.854,32.349,1.5017,0.7876,10,work,True
20,random,1,11.216,28.723,1.139,45.565,1.5017,0.7876,10,gather,True
20,random,2,6.962,33.68,1.106,44.135,1.5017,0.7876,10,gather,True
20,random,3,9.938,22.389,0.902,37.313,1.5017,0.7876,10,work,True
20,random,4,12.307,22.033,0.998,40.515,1.5017,0.7876,10,work,True
20,random,5,12.38,20.628,0.98,39.218,1.5017,0.7876,10,gather,True
20,random,6,11.838,26.294,1.061,44.07,1.5017,0.7876,10,gather,True
20,random,7,6.139,35.35,1.115,44.568,1.5017,0.7876,10,work,True
20,random,8,7.251,22.81,0.838,33.699,1.5017,0.7876,10,work,True
20,random,9,1.996,25.136,0.811,28.134,1.5017,0.7876,10,work,True
21,random,0,5.736,25.642,0.854,34.49,1.5426,0.8054,10,gather,True
21,random,1,10.216,30.501,1.139,46.26,1.5426,0.8054,10,work,True
21,random,2,8.356,33.68,1.106,46.571,1.5426,0.8054,10,gather,True
21,random,3,8.938,24.06,0.902,37.848,1.5426,0.8054,10,work,True
21,random,4,11.307,23.941,0.998,41.384,1.5426,0.8054,10,work,True
21,random,5,11.38,22.718,0.98,40.273,1.5426,0.8054,10,work,True
21,random,6,12.695,26.294,1.061,45.878,1.5426,0.8054,10,gather,True
21,random,7,5.139,36.67,1.115,44.597,1.5426,0.8054,10,work,True
21,random,8,6.251,24.322,0.838,33.966,1.5426,0.8054,10,work,True
21,random,9,3.368,25.136,0.811,30.331,1.5426,0.8054,10,gather,True
22,random,0,6.833,25.642,0.854,36.373,1.5706,0.8176,10,gather,True
22,random,1,9.216,32.114,1.139,46.588,1.5706,0.8176,10,work,True
22,random,2,9.733,33.68,1.106,48.968,1.5706,0.8176,10,gather,True
22,random,3,9.683,24.06,0.902,39.268,1.5706,0.8176,10,gather,True
22,random,4,12.132,23.941,0.998,42.996,1.5706,0.8176,10,gather,True
22,random,5,10.38,24.653,0.98,40.956,1.5706,0.8176,10,work,True
22,random,6,13.487,26.294,1.061,47.477,1.5706,0.8176,10,gather,True
22,random,7,7.168,36.67,1.115,47.929,1.5706,0.8176,10,gather,True
22,random,8,5.251,25.833,0.838,34.08,1.5706,0.8176,10,work,True
22,random,9,4.566,25.136,0.811,32.308,1.5706,0.8176,10,gather,True
23,random,0,8.01,25.642,0.854,37.255,1.4498,0.7648,10,gather,True
23,random,1,10.615,32.114,1.139,47.503,1.4498,0.7648,10,gather,True
23,random,2,8.733,35.259,1.106,47.921,1.4498,0.7648,10,work,True
23,random,3,10.307,24.06,0.902,39.002,1.4498,0.7648,10,gather,True
23,random,4,11.132,25.741,0.998,41.88,1.4498,0.7648,10,work,True
23,random,5,11.244,24.653,0.98,40.954,1.4498,0.7648,10,gather,True
23,random,6,14.023,26.294,1.061,46.624,1.4498,0.7648,10,gather,True
23,random,7,8.69,36.67,1.115,49.269,1.4498,0.7648,10,gather,True
23,random,8,6.265,25.833,0.838,34.916,1.4498,0.7648,10,gather,True
23,random,9,3.566,26.56,0.811,31.731,1.4498,0.7648,10,work,True
24,random,0,8.917,25.642,0.854,37.796,1.3631,0.7265,10,gather,True
24,random,1,11.673,32.114,1.139,48.024,1.3631,0.7265,10,gather,True
24,random,2,7.733,36.554,1.106,47.095,1.3631,0.7265,10,work,True
24,random,3,9.307,25.502,0.902,38.188,1.3631,0.7265,10,work,True
24,random,4,10.132,27.375,0.998,41.185,1.3631,0.7265,10,work,True
24,random,5,10.244,26.419,0.98,40.382,1.3631,0.7265,10,work,True
24,random,6,13.023,28.21,1.061,45.961,1.3631,0.7265,10,work,True
24,random,7,7.69,38.048,1.115,48.531,1.3631,0.7265,10,work,True
24,random,8,5.265,27.267,0.838,34.444,1.3631,0.7265,10,work,True
24,random,9,5.012,26.56,0.811,33.393,1.3631,0.7265,10,gather,True
25,random,0,7.917,27.27,0.854,38.652,1.4378,0.7595,10,work,True
25,random,1,10.673,33.656,1.139,49.0,1.4378,0.7595,10,work,True
25,random,2,6.733,37.878,1.106,47.559,1.4378,0.7595,10,work,True
25,random,3,10.304,25.502,0.902,40.317,1.4378,0.7595,10,gather,True
25,random,4,9.132,29.068,0.998,42.197,1.4378,0.7595,10,work,True
25,random,5,11.273,26.419,0.98,42.627,1.4378,0.7595,10,gather,True
25,random,6,12.023,29.758,1.061,47.044,1.4378,0.7595,10,work,True
25,random,7,9.356,38.048,1.115,51.499,1.4378,0.7595,10,gather,True
25,random,8,4.265,28.555,0.838,34.688,1.4378,0.7595,10,work,True
25,random,9,4.012,28.073,0.811,33.842,1.4378,0.7595,10,work,True
26,random,0,6.917,28.802,0.854,39.271,1.5135,0.7927,10,work,True
26,random,1,11.877,33.656,1.139,51.632,1.5135,0.7927,10,gather,True
26,random,2,5.733,39.081,1.106,47.759,1.5135,0.7927,10,work,True
26,random,3,11.073,25.502,0.902,42.26,1.5135,0.7927,10,gather,True
26,random,4,8.132,30.551,0.998,42.858,1.5135,0.7927,10,work,True
26,random,5,10.273,28.051,0.98,43.6,1.5135,0.7927,10,work,True
26,random,6,12.721,29.758,1.061,49.012,1.5135,0.7927,10,gather,True
26,random,7,10.452,38.048,1.115,53.867,1.5135,0.7927,10,gather,True
26,random,8,5.455,28.555,0.838,36.812,1.5135,0.7927,10,gather,True
26,random,9,3.012,29.295,0.811,33.855,1.5135,0.7927,10,work,True
27,random,0,7.827,28.802,0.854,40.656,1.5145,0.7932,10,gather,True
27,random,1,10.877,35.206,1.139,51.68,1.5145,0.7932,10,work,True
27,random,2,7.473,39.081,1.106,50.399,1.5145,0.7932,10,gather,True
27,random,3,10.073,26.958,0.902,42.213,1.5145,0.7932,10,work,True
27,random,4,9.147,30.551,0.998,44.404,1.5145,0.7932,10,gather,True
